epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,59.0782,1.36836,2.35786,1.74933,0.87314,0.31257,0.53653,0.2847,1.55714,2.42423,1.9909,0.000549129,0.000549129,0.000549129
2,83.2965,1.3636,1.7236,1.72797,0.6455,0.6493,0.64355,0.27803,2.00078,2.33284,2.48522,0.00108292,0.00108292,0.00108292
3,106.452,1.41856,1.59726,1.76495,0.56843,0.37529,0.4077,0.22095,2.52281,2.38685,2.9975,0.00159471,0.00159471,0.00159471
4,128.569,1.41203,1.45694,1.76456,0.8164,0.78645,0.82075,0.42549,1.80174,1.43643,2.50039,0.00156798,0.00156798,0.00156798
5,151.036,1.37655,1.34093,1.73066,0.83204,0.718,0.81193,0.45668,1.64027,1.82526,2.07143,0.00153497,0.00153497,0.00153497
6,173.418,1.34399,1.26505,1.69405,0.83423,0.79211,0.85055,0.48666,1.50244,1.19356,1.84271,0.00150197,0.00150197,0.00150197
7,196.114,1.32395,1.19936,1.68091,0.87709,0.8321,0.89343,0.50104,1.48071,1.22446,1.82299,0.00146896,0.00146896,0.00146896
8,218.992,1.30896,1.19561,1.67051,0.87727,0.84464,0.88405,0.50458,1.53878,1.02693,1.90067,0.00143595,0.00143595,0.00143595
9,241.734,1.26852,1.10614,1.64309,0.85585,0.8573,0.88306,0.48746,1.61194,1.09452,2.0128,0.00140295,0.00140295,0.00140295
10,264.213,1.2637,1.11047,1.64889,0.85863,0.88506,0.91286,0.55986,1.44584,0.95046,1.84648,0.00136994,0.00136994,0.00136994
11,286.88,1.23047,1.06128,1.61276,0.87368,0.84408,0.89119,0.48496,1.71979,1.15029,2.09461,0.00133693,0.00133693,0.00133693
12,309.087,1.25841,1.07813,1.63913,0.93345,0.8734,0.93728,0.60886,1.3719,0.86962,1.75609,0.00130393,0.00130393,0.00130393
13,331.131,1.21588,1.05102,1.60032,0.90956,0.84635,0.89941,0.54618,1.46706,0.9366,1.85387,0.00127092,0.00127092,0.00127092
14,352.457,1.2311,1.00085,1.60491,0.93284,0.89605,0.94608,0.57605,1.33052,0.85372,1.69551,0.00123791,0.00123791,0.00123791
15,375.018,1.21608,1.00786,1.60612,0.93737,0.88645,0.94576,0.57945,1.38776,0.84067,1.70175,0.00120491,0.00120491,0.00120491
16,397.365,1.18595,0.96527,1.5707,0.90655,0.89209,0.9404,0.59869,1.33557,0.80756,1.68117,0.0011719,0.0011719,0.0011719
17,420.331,1.19612,0.99867,1.59086,0.9279,0.89114,0.93644,0.58241,1.35152,0.81659,1.69877,0.00113889,0.00113889,0.00113889
18,443.346,1.17333,0.98005,1.57324,0.94184,0.89843,0.95656,0.6047,1.32855,0.77108,1.64851,0.00110589,0.00110589,0.00110589
19,466.44,1.1546,0.91837,1.52955,0.91948,0.90055,0.9421,0.60043,1.31882,0.77665,1.65878,0.00107288,0.00107288,0.00107288
20,488.858,1.16693,0.94153,1.56303,0.92944,0.89553,0.94327,0.61309,1.33677,0.77403,1.69069,0.00103987,0.00103987,0.00103987
21,511.717,1.13026,0.90031,1.52875,0.90752,0.91634,0.94655,0.64229,1.24218,0.75285,1.61906,0.00100687,0.00100687,0.00100687
22,534,1.14955,0.92121,1.55092,0.89311,0.90635,0.94246,0.60656,1.28854,0.77015,1.63757,0.000973861,0.000973861,0.000973861
23,557.075,1.12666,0.90887,1.53398,0.92971,0.89575,0.94249,0.61362,1.34497,0.7975,1.69615,0.000940855,0.000940855,0.000940855
24,579.612,1.12278,0.87608,1.51713,0.9302,0.87694,0.93023,0.61889,1.27512,0.78316,1.66048,0.000907848,0.000907848,0.000907848
25,601.366,1.10751,0.87071,1.5192,0.92211,0.9161,0.95141,0.6591,1.17577,0.69672,1.54603,0.000874842,0.000874842,0.000874842
26,623.796,1.07139,0.86574,1.50602,0.93955,0.88203,0.94795,0.65231,1.12473,0.7168,1.50504,0.000841835,0.000841835,0.000841835
27,647.43,1.06912,0.84755,1.48853,0.90514,0.90212,0.93148,0.64984,1.20667,0.74011,1.61037,0.000808828,0.000808828,0.000808828
28,670.345,1.07409,0.85167,1.50202,0.93399,0.88941,0.9427,0.69026,1.09871,0.76577,1.54837,0.000775822,0.000775822,0.000775822
29,693.637,1.03911,0.82818,1.46052,0.95428,0.91443,0.95882,0.73159,1.01347,0.63632,1.4534,0.000742815,0.000742815,0.000742815
30,716.312,1.05406,0.83141,1.48457,0.93443,0.90191,0.94987,0.72453,1.03015,0.66415,1.49571,0.000709809,0.000709809,0.000709809
31,738.948,1.04679,0.82262,1.47128,0.94936,0.92159,0.9629,0.73124,1.03939,0.61267,1.46161,0.000676802,0.000676802,0.000676802
32,761.383,1.01192,0.80645,1.44833,0.93869,0.91755,0.96198,0.73193,1.01158,0.6454,1.45023,0.000643795,0.000643795,0.000643795
33,784.322,1.01274,0.79298,1.45037,0.92067,0.91755,0.95372,0.72071,0.99564,0.65202,1.42571,0.000610789,0.000610789,0.000610789
34,807.408,0.99215,0.77788,1.44155,0.94283,0.92263,0.96578,0.74074,0.988,0.60651,1.42086,0.000577782,0.000577782,0.000577782
35,830.01,1.00283,0.77743,1.43842,0.92395,0.92292,0.96058,0.74646,0.96296,0.62582,1.40775,0.000544776,0.000544776,0.000544776
36,852.196,0.95256,0.74743,1.40383,0.94526,0.92027,0.967,0.74061,0.96326,0.58073,1.40036,0.000511769,0.000511769,0.000511769
37,874.552,0.97697,0.76231,1.42337,0.95215,0.91686,0.96675,0.75711,0.93927,0.59034,1.39755,0.000478762,0.000478762,0.000478762
38,896.774,0.96559,0.76511,1.42042,0.94453,0.91755,0.96733,0.74534,0.96454,0.60411,1.41415,0.000445756,0.000445756,0.000445756
39,919.439,0.97593,0.75903,1.42427,0.93795,0.90529,0.95285,0.75001,0.92447,0.62331,1.39783,0.000412749,0.000412749,0.000412749
40,942.487,0.95771,0.75528,1.4086,0.93432,0.93261,0.9645,0.7525,0.93732,0.58467,1.39457,0.000379743,0.000379743,0.000379743
41,999.132,0.7996,0.52928,1.31779,0.94875,0.91619,0.96426,0.72445,0.96186,0.58661,1.37452,0.000346736,0.000346736,0.000346736
42,1021.91,0.79425,0.48091,1.31368,0.94742,0.92528,0.95794,0.73885,0.94808,0.59945,1.3854,0.000313729,0.000313729,0.000313729
43,1044.6,0.76635,0.47508,1.29859,0.95335,0.91891,0.96002,0.75218,0.94577,0.58492,1.40646,0.000280723,0.000280723,0.000280723
44,1066.76,0.76225,0.46082,1.29277,0.94451,0.923,0.96126,0.76041,0.90344,0.5922,1.366,0.000247716,0.000247716,0.000247716
45,1088.92,0.74497,0.44807,1.27652,0.93482,0.91619,0.95781,0.74761,0.94765,0.6007,1.40952,0.00021471,0.00021471,0.00021471
46,1111.19,0.72465,0.44319,1.25838,0.94038,0.91755,0.95918,0.75805,0.92905,0.58906,1.39059,0.000181703,0.000181703,0.000181703
47,1133.81,0.71735,0.42467,1.24659,0.94543,0.91407,0.96222,0.76397,0.90416,0.56789,1.37366,0.000148696,0.000148696,0.000148696
48,1155.33,0.70929,0.42573,1.24643,0.93985,0.92436,0.96374,0.76206,0.89819,0.55525,1.36459,0.00011569,0.00011569,0.00011569
49,1177.71,0.70546,0.41658,1.24822,0.94433,0.92283,0.96438,0.77325,0.89432,0.54606,1.36901,8.26832e-05,8.26832e-05,8.26832e-05
50,1199.98,0.68551,0.40428,1.2284,0.95208,0.92898,0.96714,0.77696,0.88623,0.53663,1.36946,4.96766e-05,4.96766e-05,4.96766e-05
